username, created_at, lng, lat, text
PCPPConserv, Sat Jan 30 01:56:38 +0000 2021, -117.287924, 33.121484, @sandyleevincent @GOP @mtgreenee @RepMattGaetz @Jim_Jordan @SenTedCruz That’s because I think it’s rude not to wear… https://t.co/7gwSustZCw 
andrewmccalip, Sat Jan 30 01:56:39 +0000 2021, -118.351218, 33.833714, @elonmusk   Would you consider adding the green light ding feature as a $250 upgrade? I'm sure all the non-FSD crowd would love it. 
ozaalcerit, Sat Jan 30 01:56:39 +0000 2021, -81.248786, 42.948841, @den1zs hangi cocuk 🤨 
Zombie001Hunter, Sat Jan 30 01:56:39 +0000 2021, -79.420865, 38.003376, About to go live! I’ll race you guys there! 
MitchellCohen7, Sat Jan 30 01:56:39 +0000 2021, -74.539446, 40.270419, @CO0483T Killer O! 
djs412, Sat Jan 30 01:56:39 +0000 2021, -73.679959, 41.413470, #cadillactrivia Wilt Chamberlain 
brchapman65, Sat Jan 30 01:56:39 +0000 2021, -79.420865, 38.003376, @sweetonmeee Wondering why? 
kbhumes, Sat Jan 30 01:56:39 +0000 2021, -122.149768, 47.597856, @SusanChappelle1 @funder @Hillaryfantasy #ExepelHerNow 
Billy_PDX, Sat Jan 30 01:56:39 +0000 2021, -122.630908, 45.536402, I love the new director of the show! 
TroyRyanXXX, Sat Jan 30 01:56:39 +0000 2021, -83.963842, 35.982470, Some of the best album art to this day is from bands I used to listen to in middle school https://t.co/w97KKqOmgG 
CoalterInsuresU, Sat Jan 30 01:56:40 +0000 2021, -89.580759, 36.876421, @sikestonball Way to go! 
ECochnar, Sat Jan 30 01:56:40 +0000 2021, -106.632718, 35.117002, Favorite George Michael album? #GeorgeMichael 
spicycor3, Sat Jan 30 01:56:40 +0000 2021, -97.754724, 30.323346, I wanna look like an alien but i have an internship 😐 
Nicol09041064, Sat Jan 30 01:56:40 +0000 2021, -100.293591, 25.641718, https://t.co/PaZAnMNNjf 
webcentrick, Sat Jan 30 01:56:40 +0000 2021, -91.585191, 41.698276, @HawkeyeReport @DavidEickholt I feel like they were trying to say something. 
SinCityDaniel, Sat Jan 30 01:56:40 +0000 2021, -115.223125, 36.232915, Well well..Maybe they will piss off Elon and he will start a new public platform!! 
FlirtatiousPeka, Sat Jan 30 01:56:40 +0000 2021, -82.454667, 34.858283, You know I hear a lot of men talk about the kind of women they like to date But me myself I don't date overweight m… https://t.co/s2xuppoyYA 
hudocktweets, Sat Jan 30 01:56:40 +0000 2021, -77.604684, 41.117936, loved #TheLittleThings 🔥 
NevadaKiran, Sat Jan 30 01:56:40 +0000 2021, -106.632718, 35.117002, @Mediaite https://t.co/1q6Qvmfag9 
YourFlighness, Sat Jan 30 01:56:40 +0000 2021, -95.446486, 29.838495, Passenger was removed from my flight... y’all please don’t try it baby... I promise you.... https://t.co/Sg9toGGYpM 
001JoJo, Sat Jan 30 01:56:40 +0000 2021, -87.478814, 41.638191, @HISHAMTAWFIQ Drop some knowledge Dembe #TheBlacklist 
lukinhalp, Sat Jan 30 01:56:41 +0000 2021, -117.104989, 32.810012, @judepaulla1 Tomou nada não, o problema é o que tá em falta 😂 
f250sanchez101, Sat Jan 30 01:56:41 +0000 2021, -117.782360, 33.689732, The first bite of an apple is so awkward.. 
MelodySaleh, Sat Jan 30 01:56:41 +0000 2021, -80.149173, 26.150368, @JosephJMiccolis https://t.co/Din0MIB1aH 
__franfine, Sat Jan 30 01:56:41 +0000 2021, -90.110051, 29.881880, nailed it 😂😂 
welldamnjackie_, Sat Jan 30 01:56:41 +0000 2021, -83.908928, 43.617282, @sw33t1zm3 Thank you!❤️❤️ 
KingFreestyle3, Sat Jan 30 01:56:42 +0000 2021, -83.399779, 33.956384, @satyanadella if you make sure that. NET Framework and also not to mention the XNA framework were a part of his you… https://t.co/KoS7nJ0khT 
paulmtracy, Sat Jan 30 01:56:42 +0000 2021, -111.858398, 33.639340, @TheOvalPawffice Looks like this is from the past president 
KFusaroPizzo, Sat Jan 30 01:56:42 +0000 2021, -74.153947, 40.572376, @Joe_Sanfelippo The @SITech_HS Seagulls!We will steal your sandwich. 
CamberFilms, Sat Jan 30 01:56:42 +0000 2021, -86.450900, 32.460300, Just posted a photo @ Prattville, Alabama https://t.co/XgRz5ABweq 
marcysnipes, Sat Jan 30 01:56:42 +0000 2021, -80.546916, 43.482152, @EarlofKP @Buccigross @CanadiensMTL this is the definition of rent free 
IamJohnGodson, Sat Jan 30 01:56:42 +0000 2021, -111.899805, 40.706168, Bicycle here means  "LIFE". 
jaraymer3, Sat Jan 30 01:56:42 +0000 2021, -84.890749, 35.124614, Kindergarten ClassBirthday Cone Ice cream party, Happy Birthday 🍦🎉@dp_yates @CCS_SNP @clevecityschool https://t.co/Nj9hRleK1p 
countryhick1497, Sat Jan 30 01:56:43 +0000 2021, -73.831187, 40.670879, I still believed in Marvin! Poor guy.I blame Ressler, and of course Liz. #TheBlacklist 
drannPDS, Sat Jan 30 01:56:43 +0000 2021, -118.918886, 34.188478, @JillWineBanks @Slate Definitely  in fact he Sh resign 
